Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-04-08T22:59:59.000Z,5260.2050430865,5192.9290962064,5343.2470926415,5088.678144514
BTC,2019-04-09T22:59:59.000Z,5179.997649218,5260.2003287856,5285.8634204236,5117.0061851338
BTC,2019-04-10T22:59:59.000Z,5283.543757825,5179.9966735738,5450.989154256,5170.615377475
BTC,2019-04-11T22:59:59.000Z,5049.6058235388,5320.6135135987,5342.5239018413,4954.1609154428
BTC,2019-04-12T23:00:00.000Z,5077.5158640878,5042.4023413794,5098.6060391669,4894.7331802049
BTC,2019-04-13T22:59:59.000Z,5066.8670401606,5077.5211333771,5117.6210450332,5021.7650353067
BTC,2019-04-14T23:00:00.000Z,5158.3874010066,5066.8774596534,5167.4313400271,5014.1653733057
BTC,2019-04-15T22:59:59.000Z,5045.6751659083,5145.8703659694,5181.9270002699,4957.6868898445
BTC,2019-04-16T23:00:00.000Z,5184.2044677779,5035.4607327922,5218.961540392,5019.9529488984
BTC,2019-04-17T23:00:00.000Z,5220.9599338197,5184.2044800119,5253.8619606622,5167.6833737207
BTC,2019-04-18T22:59:59.000Z,5276.5589823291,5218.0798427466,5310.4870454049,5214.8029423068
BTC,2019-04-19T23:00:00.000Z,5266.6612458779,5279.1814277,5345.7593029787,5212.1884707029
BTC,2019-04-20T22:59:59.000Z,5292.1483296981,5266.6612610884,5353.2868301723,5259.4268274145
BTC,2019-04-21T22:59:59.000Z,5276.5583181647,5292.1483276552,5330.9173143936,5195.6335370123
BTC,2019-04-22T23:00:00.000Z,5398.4334166027,5282.0882670752,5408.8419630351,5239.1652956097
BTC,2019-04-23T22:59:59.000Z,5552.5219105461,5398.4334166027,5622.4818679657,5359.2519203866
BTC,2019-04-24T22:59:59.000Z,5432.9910174238,5552.5194712993,5614.992209124,5373.8647065322
BTC,2019-04-25T23:00:00.000Z,5132.227526274,5432.9910173679,5505.1319530759,5055.1925785883
BTC,2019-04-26T22:59:59.000Z,5151.5745281681,5131.0616909647,5274.6954852413,5053.9463090714
BTC,2019-04-27T22:59:58.000Z,5200.1932393191,5151.5744081971,5218.8151827909,5088.2981217826
BTC,2019-04-28T23:00:00.000Z,5152.5457396305,5200.1930596118,5208.3476561134,5118.9091325833
BTC,2019-04-29T22:59:59.000Z,5151.4334996793,5156.543027828,5192.0253391672,5083.8427035987
BTC,2019-04-30T22:59:58.000Z,5277.4444688896,5155.6172833984,5292.6053854377,5130.2601978629
BTC,2019-05-01T22:59:58.000Z,5297.9424922151,5277.444450001,5351.3591428566,5259.8440261214
BTC,2019-05-02T22:59:59.000Z,5405.8780670084,5323.6392701182,5427.4883938579,5310.6701004202
BTC,2019-05-03T22:00:00.000Z,5697.6790537992,5405.8781112193,5791.2114632021,5378.2080477999
BTC,2019-05-04T23:00:00.000Z,5812.3317793033,5690.1475273592,5829.9489133851,5529.7482398946
BTC,2019-05-05T22:59:59.000Z,5713.0350518135,5787.5985981407,5787.6454782757,5634.7238503772
BTC,2019-05-06T22:59:59.000Z,5706.0084207883,5713.0349658693,5750.5656087971,5562.3147274549
BTC,2019-05-07T22:59:59.000Z,5899.5296934602,5687.2598413585,5956.1501039829,5687.253246151
BTC,2019-05-08T22:59:59.000Z,5932.4413913918,5759.3750574463,5942.4108923254,5708.476326096
BTC,2019-05-09T23:00:00.000Z,6159.6859018287,5932.4462847078,6159.6859018287,5845.6509179975
BTC,2019-05-10T22:59:59.000Z,6387.829450439,6159.6895437717,6426.8312070424,6098.1579761282
BTC,2019-05-11T22:59:59.000Z,7254.8055361621,6347.7067370066,7337.3221812437,6346.3318889256
BTC,2019-05-12T23:00:00.000Z,6992.7066614624,7241.0236527485,7577.7706750947,6758.8820843525
BTC,2019-05-13T22:59:59.000Z,7906.9408350528,6992.705887281,8148.5610875384,6860.2866798543
BTC,2019-05-14T22:59:59.000Z,7928.4174163467,7906.9464248717,8353.869652476,7642.4035612633
BTC,2019-05-15T22:59:59.000Z,8177.4535191838,7989.1277083975,8260.9531103939,7844.9802377751
BTC,2019-05-16T22:59:59.000Z,7820.0762428219,8177.4535736638,8360.3001909545,7683.6652827439
BTC,2019-05-17T23:00:00.000Z,7243.650538964,7820.0765409497,7935.9747702379,6900.8294027867
